model;scenario;region;variable;unit;time;value
FRESH:COM v2.0;Default scenario;Austria;Maximum Storage|Electricity|Energy Storage System;kWh;2019;0
FRESH:COM v2.0;Default scenario;Austria;Minimum Storage|Electricity|Energy Storage System;kWh;2019;0
FRESH:COM v2.0;Default scenario;Austria;Maximum Charge|Electricity|Energy Storage System;kW;2019;0
FRESH:COM v2.0;Default scenario;Austria;Maximum Discharge|Electricity|Energy Storage System;kW;2019;0
FRESH:COM v2.0;Default scenario;Austria;Maximum Active power|Electricity|Solar;kW;2019;3
FRESH:COM v2.0;Default scenario;Austria;Price|Carbon;EUR/tCO2;2019;60
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 00:00+01:00;0.036641204
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 01:00+01:00;0.035602342
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 02:00+01:00;0.038349737
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 03:00+01:00;0.034506438
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 04:00+01:00;0.035673441
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 05:00+01:00;0.06489779
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 06:00+01:00;0.519499785
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 07:00+01:00;0.595074885
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 08:00+01:00;0.655754195
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 09:00+01:00;0.334863373
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 10:00+01:00;0.837944425
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 11:00+01:00;0.160829289
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 12:00+01:00;0.108385927
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 13:00+01:00;0.269367425
