model;scenario;region;variable;unit;time;value
FRESH:COM v2.0;Default scenario;Austria;Maximum Storage|Electricity|Energy Storage System;kWh;2019;3
FRESH:COM v2.0;Default scenario;Austria;Minimum Storage|Electricity|Energy Storage System;kWh;2019;0
FRESH:COM v2.0;Default scenario;Austria;Maximum Charge|Electricity|Energy Storage System;kW;2019;1
FRESH:COM v2.0;Default scenario;Austria;Maximum Discharge|Electricity|Energy Storage System;kW;2019;1
FRESH:COM v2.0;Default scenario;Austria;Maximum Active power|Electricity|Solar;kW;2019;3
FRESH:COM v2.0;Default scenario;Austria;Price|Carbon;EUR/tCO2;2019;30
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 00:00+01:00;0.04961509
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 01:00+01:00;0.100859231
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 02:00+01:00;0.061806533
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 03:00+01:00;0.049365312
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 04:00+01:00;0.049761546
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 05:00+01:00;0.064227254
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 06:00+01:00;1.183723734
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 07:00+01:00;0.73186254
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 08:00+01:00;0.539645833
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 09:00+01:00;0.773812037
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 10:00+01:00;0.716540836
